Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Move Class,count_PBS_all,LogisticRegression,0.4,16,32,0.6622320768662232,87,45,55,13,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Class,count_PBS_all,RandomForest,0.5,13,26,0.6694352159468439,77,57,43,23,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 300}""]",count,PBS,all
Move Class,count_PBS_all,SVM,0.5,13,26,0.6359357696566998,91,36,64,9,"[""{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,PBS,all
Move Class,count_PBS_all,LogisticRegression,0.5,13,26,0.6483942414174972,87,43,57,13,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Rename Package,count_PBS_all,RandomForest,0.2,5,10,0.9636363636363636,93,100,0,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Rename Package,count_PBS_all,SVM,0.2,5,10,0.9212121212121211,84,100,0,16,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,all
Rename Package,count_PBS_all,LogisticRegression,0.2,5,10,0.9666666666666667,93,100,0,7,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Rename Package,count_PBS_all,RandomForest,0.3,4,8,0.46407185628742514,93,0,100,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Rename Package,count_PBS_all,SVM,0.3,4,8,0.9610778443113772,92,100,0,8,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Rename Package,count_PBS_all,LogisticRegression,0.3,4,8,0.9640718562874251,93,100,0,7,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Rename Package,count_PBS_all,RandomForest,0.4,4,8,0.46407185628742514,93,0,100,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Rename Package,count_PBS_all,SVM,0.4,4,8,0.9610778443113772,92,100,0,8,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Rename Package,count_PBS_all,LogisticRegression,0.4,4,8,0.9640718562874251,93,100,0,7,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Rename Package,count_PBS_all,RandomForest,0.5,3,6,0.8816568047337279,76,100,0,24,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Rename Package,count_PBS_all,SVM,0.5,3,6,0.9615384615384616,92,100,0,8,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,all
Rename Package,count_PBS_all,LogisticRegression,0.5,3,6,0.9467455621301775,89,100,0,11,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
