Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Move Attribute,count_SMOTE_all,RandomForest,0.4,102,102,0.69,78,60,40,22,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,SMOTE,all,Accuracy
Move Attribute,count_SMOTE_all,SVM,0.5,85,85,0.507,85,17,83,15,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,TN
Move Attribute,count_SMOTE_all,RandomForest,0.4,102,102,0.69,78,60,40,22,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,SMOTE,all,TP
Move Class,count_SMOTE_all,LogisticRegression,0.5,78,78,0.679,71,64,36,29,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,SMOTE,all,Accuracy
Move Class,count_SMOTE_all,SVM,0.2,123,123,0.653,91,40,60,9,"[""{'C': 10, 'kernel': 'rbf'}""]",count,SMOTE,all,TN
Move Class,count_SMOTE_all,SVM,0.5,78,78,0.646,65,64,36,35,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,TP
Move Method,count_SMOTE_all,RandomForest,0.2,137,137,0.693,89,50,50,11,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,all,Accuracy
Move Method,count_SMOTE_all,SVM,0.4,103,103,0.464,93,0,100,7,"[""{'C': 10, 'kernel': 'rbf'}""]",count,SMOTE,all,TN
Move Method,count_SMOTE_all,RandomForest,0.2,137,137,0.693,89,50,50,11,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,all,TP
Pull Up Method,count_SMOTE_all,SVM,0.3,121,121,0.467,43,50,50,57,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,Accuracy
Pull Up Method,count_SMOTE_all,RandomForest,0.2,139,139,0.443,89,0,100,11,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,SMOTE,all,TN
Pull Up Method,count_SMOTE_all,SVM,0.3,121,121,0.467,43,50,50,57,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,TP
Rename Package,count_SMOTE_all,RandomForest,0.2,139,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,all,Accuracy
Rename Package,count_SMOTE_all,RandomForest,0.2,139,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,all,TN
Rename Package,count_SMOTE_all,RandomForest,0.2,139,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,all,TP
Extract Method,count_SMOTE_single,RandomForest,0.3,69,69,0.809,79,83,17,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,single,Accuracy
Extract Method,count_SMOTE_single,RandomForest,0.3,69,69,0.809,79,83,17,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,single,TN
Extract Method,count_SMOTE_single,SVM,0.3,69,69,0.623,32,93,7,68,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,single,TP
Inline Method,count_SMOTE_single,RandomForest,0.5,73,73,0.795,88,71,29,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,single,Accuracy
Inline Method,count_SMOTE_single,RandomForest,0.4,88,88,0.724,95,50,50,5,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,SMOTE,single,TN
Inline Method,count_SMOTE_single,RandomForest,0.5,73,73,0.795,88,71,29,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,single,TP
Move Attribute,count_SMOTE_single,RandomForest,0.2,122,122,0.468,94,0,100,6,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,single,Accuracy
Move Attribute,count_SMOTE_single,RandomForest,0.2,122,122,0.468,94,0,100,6,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,single,TN
Move Attribute,count_SMOTE_single,RandomForest,0.2,122,122,0.468,94,0,100,6,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,SMOTE,single,TP
Move Class,count_SMOTE_single,SVM,0.2,114,114,0.804,86,75,25,14,"[""{'C': 1, 'kernel': 'linear'}""]",count,SMOTE,single,Accuracy
Move Class,count_SMOTE_single,SVM,0.4,85,85,0.733,89,57,43,11,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,single,TN
Move Class,count_SMOTE_single,SVM,0.2,114,114,0.804,86,75,25,14,"[""{'C': 1, 'kernel': 'linear'}""]",count,SMOTE,single,TP
Extract Method,count_normal_all,RandomForest,0.2,85,60,0.744,53,95,5,47,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,normal,all,Accuracy
Extract Method,count_normal_all,RandomForest,0.2,85,60,0.744,53,95,5,47,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,normal,all,TN
Extract Method,count_normal_all,SVM,0.4,64,45,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'rbf'}""]",count,normal,all,TP
Extract Superclass,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,Accuracy
Extract Superclass,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TN
Extract Superclass,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TP
Inline Method,count_normal_all,LogisticRegression,0.2,13,132,0.652,97,33,67,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,Accuracy
Inline Method,count_normal_all,RandomForest,0.2,13,132,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,normal,all,TN
Inline Method,count_normal_all,LogisticRegression,0.2,13,132,0.652,97,33,67,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,TP
Move Attribute,count_normal_all,LogisticRegression,0.3,8,119,0.615,98,25,75,2,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,Accuracy
Move Attribute,count_normal_all,RandomForest,0.2,10,135,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TN
Move Attribute,count_normal_all,LogisticRegression,0.3,8,119,0.615,98,25,75,2,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,TP
Move Class,count_normal_all,LogisticRegression,0.5,13,78,0.63,97,29,71,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,Accuracy
Move Class,count_normal_all,RandomForest,0.4,16,93,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TN
Move Class,count_normal_all,LogisticRegression,0.5,13,78,0.63,97,29,71,3,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,normal,all,TP
Move Method,count_normal_all,RandomForest,0.3,7,120,0.638,94,33,67,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,Accuracy
Move Method,count_normal_all,RandomForest,0.2,8,137,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TN
Move Method,count_normal_all,RandomForest,0.3,7,120,0.638,94,33,67,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TP
Pull Up Method,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,normal,all,Accuracy
Pull Up Method,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,normal,all,TN
Pull Up Method,count_normal_all,RandomForest,0.2,6,139,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,normal,all,TP
Rename Package,count_normal_all,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,Accuracy
Rename Package,count_normal_all,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TN
Rename Package,count_normal_all,RandomForest,0.2,6,139,1.0,100,100,0,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,normal,all,TP
Extract Method,count_normal_single,RandomForest,0.2,78,50,0.808,67,95,5,33,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,normal,single,Accuracy
Extract Method,count_normal_single,SVM,0.3,69,43,0.721,68,76,24,32,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,TN
Extract Method,count_normal_single,RandomForest,0.2,78,50,0.808,67,95,5,33,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,normal,single,TP
Inline Method,count_normal_single,SVM,0.5,7,73,0.887,92,86,14,8,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,Accuracy
Inline Method,count_normal_single,RandomForest,0.2,11,117,0.5,100,0,100,0,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,normal,single,TN
Inline Method,count_normal_single,SVM,0.5,7,73,0.887,92,86,14,8,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,TP
Move Attribute,count_normal_single,SVM,0.4,4,92,0.617,90,33,67,10,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,Accuracy
Move Attribute,count_normal_single,RandomForest,0.2,6,122,0.5,100,0,100,0,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,normal,single,TN
Move Attribute,count_normal_single,SVM,0.4,4,92,0.617,90,33,67,10,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,TP
Move Class,count_normal_single,LogisticRegression,0.2,14,114,0.607,96,25,75,4,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,normal,single,Accuracy
Move Class,count_normal_single,SVM,0.2,14,114,0.5,100,0,100,0,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,normal,single,TN
Move Class,count_normal_single,SVM,0.3,13,99,0.572,74,40,60,26,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,normal,single,TP
Extract Method,countplus_PBS_all,RandomForest,0.5,53,37,0.643,53,76,24,47,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",countplus,PBS,all,Accuracy
Extract Method,countplus_PBS_all,RandomForest,0.5,53,37,0.643,53,76,24,47,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",countplus,PBS,all,TN
Extract Method,countplus_PBS_all,LogisticRegression,0.2,85,37,0.517,8,95,5,92,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",countplus,PBS,all,TP
Extract Superclass,countplus_PBS_all,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",countplus,PBS,all,Accuracy
Extract Superclass,countplus_PBS_all,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",countplus,PBS,all,TN
Extract Superclass,countplus_PBS_all,RandomForest,0.4,4,8,0.511,77,25,75,23,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",countplus,PBS,all,TP
Inline Method,countplus_PBS_all,RandomForest,0.3,11,22,0.738,88,60,40,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",countplus,PBS,all,Accuracy
Inline Method,countplus_PBS_all,RandomForest,0.3,11,22,0.738,88,60,40,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",countplus,PBS,all,TN
Inline Method,countplus_PBS_all,SVM,0.5,8,16,0.699,77,62,38,23,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",countplus,PBS,all,TP
Move Attribute,countplus_PBS_all,SVM,0.3,8,16,0.734,97,50,50,3,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",countplus,PBS,all,Accuracy
Move Attribute,countplus_PBS_all,SVM,0.4,7,14,0.494,99,0,100,1,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}""]",countplus,PBS,all,TN
Move Attribute,countplus_PBS_all,RandomForest,0.3,8,16,0.636,77,50,50,23,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",countplus,PBS,all,TP
